,Rus,Eng
0,[Verse 1:],[Куплет 1:]
1,"They say, Oh my god, I see the way you shine","Люди говорят: Боже мой, я вижу, как ты сияешь!"
2,"Take your hands, my dear, and place them both in mine","Возьми меня за руки, дорогая. "
3,You know you stopped me dead while I was passing by,"Ты знаешь, я встал как вкопанный, когда проходил мимо тебя."
4,And now I beg to see you dance just one more time,"И сейчас я молю о том, чтобы ещё раз увидеть, как ты танцуешь."
5,[Pre-Chorus:],[Распевка:]
6,"Ooh, I see you, see you, see you every time","Оу, я вижу тебя, вижу тебя, вижу тебя постоянно,"
7,"And oh my, I, I like your style","И, боже мой, мне нравится твой стиль!"
8,"You, you make me, make me, make me wanna cry","Из-за тебя мне, мне, мне хочется плакать,"
9,And now I beg to see you dance just one more time,"И сейчас я молю о том, чтобы ещё раз увидеть, как ты танцуешь."
10,[Chorus:],[Припев:]
11,So they say,И люди говорят:
12,"Dance for me, dance for me, dance for me, oh-oh-oh","Станцуй для меня, станцуй для меня, станцуй для меня, оу-оу-оу!"
13,I've never seen anybody do the things you do before,"Я никогда раньше не видел, чтобы кто-то делал то, что делаешь ты."
14,They say,Люди говорят:
15,"Move for me, move for me, move for me, ayy-ayy-ayy","Подвигайся для меня, подвигайся для меня, подвигайся для меня, эй-эй-эй!"
16,And when you're done I'll make you do it all again,"А когда ты закончишь, я заставлю тебя повторить всё это снова!"
17,[Verse 2:],[Куплет 2:]
18,"I said, Oh my god, I see you walking by","Я сказала: Боже мой, я вижу, как ты проходишь мимо!"
19,"Take my hands, my dear, and look me in my eyes","Возьми меня за руки, дорогой, и посмотри в мои глаза."
20,"Just like a monkey, I've been dancin' my whole life","Я танцевала всю свою жизнь, словно обезьянка,"
21,But you just beg to see me dance just one more time,"Но ты просто умоляешь о том, чтобы ещё раз увидеть, как я танцую."
22,[Pre-Chorus:],[Распевка:]
23,"Ooh, I see you, see you, see you every time","Оу, я вижу тебя, вижу тебя, вижу тебя постоянно,"
24,"And oh my, I, I like your style","И, боже мой, мне нравится твой стиль!"
25,"You, you make me, make me, make me wanna cry","Из-за тебя мне, мне, мне хочется плакать,"
26,And now I beg to see you dance just one more time,"И сейчас я молю о том, чтобы ещё раз увидеть, как ты танцуешь."
27,[Chorus:],[Припев:]
28,So they say,И люди говорят:
29,"Dance for me, dance for me, dance for me, oh-oh-oh","Станцуй для меня, станцуй для меня, станцуй для меня, оу-оу-оу!"
30,I've never seen anybody do the things you do before,"Я никогда раньше не видел, чтобы кто-то делал то, что делаешь ты."
31,They say,Люди говорят:
32,"Move for me, move for me, move for me, ayy-ayy-ayy","Подвигайся для меня, подвигайся для меня, подвигайся для меня, эй-эй-эй!"
33,And when you're done I'll make you do it all again,"А когда ты закончишь, я заставлю тебя повторить всё это снова!"
34,They say,И люди говорят:
35,"Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh","Станцуй для меня, станцуй для меня, станцуй для меня, оу-оу-оу, оу-оу, оу-оу!"
36,I've never seen anybody do the things you do before,"Я никогда раньше не видел, чтобы кто-то делал то, что делаешь ты."
37,They say,Люди говорят:
38,"Move for me, move for me, move for me, ayy-ayy-ayy","Подвигайся для меня, подвигайся для меня, подвигайся для меня, эй-эй-эй!"
39,And when you're done I'll make you do it all again,"А когда ты закончишь, я заставлю тебя повторить всё это снова!"
40,[Bridge:],[Переход:]
41,"Ooh, ooh, ooh, ooh, ooh",У-у-у-у-у!
42,"(Do it all again, do it all again, do it all again)","(Сделай всё это снова, сделай всё это снова, сделай всё это снова!)"
43,"Oh-oh, oh-oh, oh","Оу-оу, оу-оу, оу!"
44,"Ooh, ooh, ooh, ooh, ooh-ooh",У-у-у-у-у!
45,"(Do it all again, do it all again, do it all again)","(Сделай всё это снова, сделай всё это снова, сделай всё это снова!)"
46,"Ooh, ah-ah, ah-ah","Оу, а-ах, а-ах!"
47,[Chorus:],[Припев:]
48,They say,И люди говорят:
49,"Dance for me, dance for me, dance for me, oh-oh-oh","Станцуй для меня, станцуй для меня, станцуй для меня, оу-оу-оу!"
50,I've never seen anybody do the things you do before,"Я никогда раньше не видел, чтобы кто-то делал то, что делаешь ты."
51,They say,Люди говорят:
52,"Move for me, move for me, move for me, ayy-ayy-ayy","Подвигайся для меня, подвигайся для меня, подвигайся для меня, эй-эй-эй!"
53,And when you're done I'll make you do it all again,"А когда ты закончишь, я заставлю тебя повторить всё это снова!"
54,They say,И люди говорят:
55,"Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh","Станцуй для меня, станцуй для меня, станцуй для меня, оу-оу-оу, оу-оу, оу-оу!"
56,I've never seen anybody do the things you do before,"Я никогда раньше не видел, чтобы кто-то делал то, что делаешь ты."
57,They say,Люди говорят:
58,"Move for me, move for me, move for me, ayy-ayy-ayy","Подвигайся для меня, подвигайся для меня, подвигайся для меня, эй-эй-эй!"
59,And when you're done I'll make you do it all again,"А когда ты закончишь, я заставлю тебя повторить всё это снова,"
60,All again,Всё это снова!
